rxn.number,site,e.donor,e.acceptor,e.transfer,LogK,logQ,deltaG,energy_density
5,D4,Fe+2,NO3-,8,-22.244615623308732,-34.15120000000002,-8.077512270741437,-10.17811236055466
5,D5,Fe+2,NO3-,8,-20.8464053604215,-41.377700000000004,-13.928577595272454,-9.996883219029248
5,D6,Fe+2,NO3-,8,-22.401756754499957,-79.76209999999999,-38.91366841749301,-3.8628978260356974
6,D1,Fe+2,NO3-,2,-8.193033955416098,-21.5413,-36.22223783315094,-3.8293247222006848
6,D2,Fe+2,NO3-,2,-8.087148346602305,-21.680600000000002,-36.88758053804277,-3.803519829279463
6,D3,Fe+2,NO3-,2,-7.899512992157867,-20.5353,-34.288834270935745,-3.8928472794900664
6,D4,Fe+2,NO3-,2,-7.599456046750106,-15.144900000000003,-20.475533265403104,-9.172094774305707
6,D5,Fe+2,NO3-,2,-7.184937176042922,-16.2648,-24.63937635069898,-9.147100284496178
6,D6,Fe+2,NO3-,2,-7.646182954533657,-25.473899999999997,-48.377804629165276,-3.768353843685431
7,D1,Fe+2,O2,4,15.81680906106169,-33.488499999999995,-66.89815086400088,-4.289285886427385
7,D2,Fe+2,O2,4,15.771649960373736,-33.8447,-67.3201756196166,-3.9527547597412087
7,D3,Fe+2,O2,4,15.690076832613897,-31.554899999999996,-64.10266253072695,-4.236623931504769
7,D4,Fe+2,O2,4,15.555013943082997,-19.653500000000008,-47.77141695926989,-9.105191868142462
7,D5,Fe+2,O2,4,15.35777242304846,-23.2789,-52.4227915788755,-9.12023984738009
7,D6,Fe+2,O2,4,15.576447729979009,-39.3231,-74.48849416717295,-6.62481080517936
8,D1,acetate,ferrihydrite,8,122.976211656094,71.9801,-34.59612804395785,-3.6366725041910195
8,D2,acetate,ferrihydrite,8,121.89932325956943,71.8278,-33.968880641845395,-3.704318763965396
8,D3,acetate,ferrihydrite,8,119.9888311223907,69.15690000000001,-34.48474679190025,-3.962872958519007
8,D4,acetate,ferrihydrite,8,116.92656427898555,44.430500000000016,-49.181850165218776,-3.763895137625947
8,D5,acetate,ferrihydrite,8,112.67844085950469,51.62850000000001,-41.416717911650515,-3.7149243199605713
8,D6,acetate,ferrihydrite,8,117.40408646759562,86.651,-20.86311451262786,-4.13222085819704
9,D1,acetate,goethite,8,86.58122725588709,71.9801,-9.90550949329935,-4.179823181464371
9,D2,acetate,goethite,8,85.8027838725003,71.8278,-9.480729329438804,-4.258558252159055
9,D3,acetate,goethite,8,84.421513353769,69.15690000000001,-10.355623222606889,-4.485323759252951
9,D4,acetate,goethite,8,82.20717579228403,44.430500000000016,-25.62796790466208,-4.0469858285711124
9,D5,acetate,goethite,8,79.13537750152545,51.62850000000001,-18.6608630585371,-4.061168274153698
